No.,Twitter,artist,music
1,http://twitter.com/Tyrese,Tyrese,Shame (feat. Jennifer Hudson)
2,http://twitter.com/Adele,Adele,Hello
3,http://twitter.com/donghae861015,Super Junior,Magic
4,http://twitter.com/donghae861015,Super Junior,Devil
5,http://twitter.com/LilTunechi,Lil Wayne,Used To
6,http://twitter.com/FifthHarmony,Fifth Harmony,Worth It
7,http://twitter.com/troyesivan,Troye Sivan,Blue (feat. Alex Hope)
8,http://twitter.com/ShawnMendes,Shawn Mendes,Stitches
9,http://twitter.com/justinbieber,Justin Bieber,Sorry
10,http://twitter.com/thegame,Game,Really
11,http://twitter.com/Adele,Adele,When We Were Young
12,http://twitter.com/Jeremih,Jeremih,Planes
13,http://twitter.com/onedirection,One Direction,Infinity
14,http://twitter.com/NICKIMINAJ,Nicki Minaj,Anaconda
15,http://twitter.com/coldplay,Coldplay,Adventure of a Lifetime
16,http://twitter.com/1future,Future,Where Ya At (feat. Drake)
17,http://twitter.com/donaldglover,Childish Gambino,Sober
18,http://twitter.com/Adele,Adele,Send My Love (To Your New Lover)
19,http://twitter.com/Drake,Drake,Energy
20,http://twitter.com/alessiacara,Alessia Cara,Here
